#reverse_pos	count	cdf
1335	5	0.860513
1336	2	0.860522
1337	4	0.860541
1338	4	0.86056
1339	4	0.860579
1340	7	0.860612
1341	6	0.86064
1342	4	0.860659
1343	2	0.860669
1344	5	0.860692
1345	5	0.860716
1346	3	0.86073
1347	3	0.860744
1348	3	0.860759
1349	6	0.860787
1350	7	0.86082
1351	5	0.860844
1352	6	0.860872
1353	4	0.860891
1354	6	0.860919
1355	3	0.860933
1356	5	0.860957
1357	4	0.860976
1358	4	0.860995
1359	5	0.861018
1360	2	0.861028
1361	9	0.86107
1362	5	0.861094
1363	6	0.861122
1364	6	0.861151
1365	7	0.861184
1366	7	0.861217
1367	6	0.861245
1368	8	0.861283
1369	4	0.861302
1370	4	0.861321
1371	7	0.861354
1372	1	0.861359
1373	1	0.861363
1374	7	0.861396
1375	5	0.86142
1376	9	0.861463
1377	4	0.861482
1378	1	0.861486
1379	6	0.861515
1380	8	0.861552
1381	7	0.861585
1382	8	0.861623
1383	16	0.861699
1384	4	0.861718
1385	3	0.861732
1386	5	0.861756
1387	5	0.861779
1388	7	0.861812
1389	5	0.861836
1390	5	0.86186
1391	8	0.861897
1392	4	0.861916
1393	8	0.861954
1394	6	0.861982
1395	3	0.861997
1396	9	0.862039
1397	1	0.862044
1398	4	0.862063
1399	4	0.862082
1400	5	0.862105
1401	5	0.862129
1402	4	0.862148
1403	6	0.862176
1404	9	0.862219
1405	7	0.862252
1406	5	0.862275
1407	6	0.862304
1408	4	0.862323
1409	5	0.862346
1410	6	0.862375
1411	6	0.862403
1412	7	0.862436
1413	2	0.862446
1414	10	0.862493
1415	5	0.862516
1416	6	0.862545
1417	5	0.862568
1418	6	0.862597
1419	5	0.86262
1420	9	0.862663
1421	3	0.862677
1422	6	0.862705
1423	3	0.86272
1424	4	0.862739
1425	3	0.862753
1426	6	0.862781
1427	2	0.86279
1428	1	0.862795
1429	1	0.8628
1430	2	0.862809
1431	4	0.862828
1432	2	0.862838
1433	3	0.862852
1434	1	0.862857
1435	3	0.862871
1436	5	0.862894
1437	3	0.862909
1438	2	0.862918
1439	4	0.862937
1440	3	0.862951
1441	4	0.86297
1442	7	0.863003
1443	2	0.863013
1444	4	0.863032
1445	7	0.863065
1446	5	0.863088
1447	4	0.863107
1448	5	0.863131
1449	2	0.86314
1450	2	0.86315
1451	8	0.863187
1452	8	0.863225
1453	8	0.863263
1455	3	0.863277
1456	6	0.863306
1457	8	0.863343
1458	5	0.863367
1459	7	0.8634
1460	4	0.863419
1461	8	0.863457
1462	5	0.86348
1463	3	0.863495
1464	3	0.863509
1465	4	0.863528
1466	6	0.863556
1467	6	0.863584
1468	3	0.863599
1469	3	0.863613
1470	3	0.863627
1471	2	0.863636
1472	1	0.863641
1473	6	0.863669
1474	3	0.863684
1475	3	0.863698
1476	2	0.863707
1477	4	0.863726
1478	4	0.863745
1479	6	0.863773
1480	4	0.863792
1481	5	0.863816
1482	4	0.863835
1483	6	0.863863
1484	8	0.863901
1485	2	0.86391
1486	2	0.86392
1487	2	0.863929
1488	2	0.863939
1489	2	0.863948
